time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,amcl_yaw_deg,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
51.0,0.4849,-0.0449,0.0082,1.0000,0.9437,0.3781,0.1356,-0.7941,-0.7558,0.6866,-0.7706,49.4742
51.5,0.7131,-0.0292,0.0507,0.9987,5.8155,0.4365,0.0433,-0.8845,-0.8755,0.8316,-0.8698,49.3824
52.0,0.9747,0.0074,0.0606,0.9982,6.9506,0.4980,-0.0289,-0.9308,-0.9091,0.9613,-0.9918,49.3365
52.5,1.2241,0.0497,0.0577,0.9983,6.6208,0.5216,-0.0244,-0.9612,-0.8787,0.9308,-0.9460,49.2293
53.0,1.4293,0.0838,0.0632,0.9980,7.2513,0.5117,0.1556,-1.0069,-0.8330,0.8545,-0.9918,49.4130
53.5,1.6305,0.1306,0.1008,0.9949,11.5680,0.5038,0.3211,-1.0111,-0.8288,0.7858,-1.0376,49.4130
54.0,1.9149,0.2376,0.2015,0.9795,23.2529,0.4976,0.2778,-0.9785,-0.8614,0.8011,-1.0223,49.4283
54.5,2.1799,0.3873,0.2785,0.9604,32.3390,0.4996,0.1156,-0.9316,-0.9084,0.8926,-0.9766,49.3365
55.0,2.3094,0.4745,0.2934,0.9560,34.1287,0.5054,-0.0722,-0.8842,-0.9557,0.9766,-0.9384,49.4436
55.5,2.5565,0.6386,0.2598,0.9656,30.1220,0.5046,-0.2922,-0.8373,-1.0027,1.0300,-0.8240,49.3977
56.0,2.8242,0.7692,0.1714,0.9852,19.7341,0.4961,-0.4133,-0.7901,-1.0498,1.0605,-0.7706,49.4130
56.5,2.9654,0.8180,0.1180,0.9930,13.5517,0.4975,-0.4667,-0.8090,-1.0310,1.0910,-0.7401,49.4130
57.0,3.2656,0.8461,-0.0211,0.9998,-2.4196,0.4976,-0.3233,-0.8561,-0.9838,1.0300,-0.7935,49.3977
57.5,3.5622,0.7999,-0.1051,0.9945,-12.0651,0.5007,-0.0589,-0.8939,-0.9460,0.9689,-0.9003,49.4283
58.0,3.7126,0.7649,-0.1114,0.9938,-12.7949,0.5069,0.0633,-0.9148,-0.9252,0.8774,-0.9308,49.3365
58.5,4.0088,0.7170,-0.0907,0.9959,-10.4122,0.5047,0.1044,-0.9539,-0.8861,0.8663,-0.9842,49.4130
59.0,4.3076,0.6856,-0.0547,0.9985,-6.2758,0.5042,0.1489,-0.9504,-0.8896,0.8774,-1.0071,49.3671
59.5,4.4635,0.6828,-0.0270,0.9996,-3.0907,0.4961,0.0322,-0.9032,-0.9367,0.9003,-0.9460,49.4130
60.0,4.7670,0.6813,-0.0134,0.9999,-1.5356,0.5013,-0.1178,-0.9119,-0.9280,0.9613,-0.8663,49.3977
60.5,5.0617,0.6894,-0.0350,0.9994,-4.0155,0.4951,-0.0789,-0.9466,-0.8934,0.9155,-0.8698,49.4283
61.0,5.2080,0.6875,-0.0419,0.9991,-4.8004,0.4978,0.0344,-0.9542,-0.8857,0.9003,-0.9308,49.3977
61.5,5.5008,0.6609,-0.0384,0.9993,-4.3991,0.4991,0.1389,-0.9707,-0.8693,0.8698,-0.9689,49.3365
62.0,5.7954,0.6589,0.0063,1.0000,0.7236,0.4928,0.1378,-0.9520,-0.8880,0.8545,-0.9766,49.4283
62.5,6.0411,0.6731,0.0395,0.9992,4.5328,0.4920,0.0989,-0.9270,-0.9129,0.8774,-0.9308,49.2752
63.0,6.1878,0.6871,0.0544,0.9985,6.2377,0.4956,-0.0422,-0.9003,-0.9397,0.9766,-0.9079,49.4130
63.5,6.4821,0.7273,0.0428,0.9991,4.9101,0.5006,-0.1356,-0.8895,-0.9505,0.9460,-0.8774,49.3518
64.0,6.7277,0.7438,0.0113,0.9999,1.2939,0.5076,-0.1233,-0.9271,-0.9128,0.9689,-0.8926,49.4742
64.5,7.0300,0.7450,-0.0195,0.9998,-2.2345,0.5048,0.0222,-0.9449,-0.8950,0.9232,-0.9460,49.4895
65.0,7.2837,0.7568,-0.0034,1.0000,-0.3923,0.5043,0.1089,-0.9483,-0.8916,0.8774,-0.9689,49.4283
65.5,7.4794,0.7653,0.0203,0.9998,2.3227,0.4995,0.0711,-0.9053,-0.9346,0.9003,-0.9384,49.3977
