time_s,map_odom_deg,odom_base_deg,map_laser_deg,base_laser_deg,odom_laser_deg
1777022697.065570,-60.989615,-151.373129,147.639453,0.000000,-151.373129
1777022697.156883,-60.998698,-149.594339,149.408052,0.000000,-149.594339
1777022697.257788,-61.064137,-148.370169,150.574315,0.000000,-148.370169
1777022697.357557,-61.142321,-147.662010,151.206950,0.000000,-147.662010
1777022697.454806,-61.142321,-147.377209,151.480471,0.000000,-147.377209
1777022697.555827,-61.232933,-147.378733,151.401130,0.000000,-147.378733
1777022697.655110,-61.232933,-147.421665,151.345402,0.000000,-147.421665
1777022697.756261,-61.429342,-147.250517,151.347644,0.000000,-147.250517
1777022697.862695,-61.429342,-146.581725,151.988933,0.000000,-146.581725
1777022697.958201,-61.634667,-145.234284,153.158430,0.000000,-145.234284
1777022698.054882,-61.634667,-143.313639,155.051694,0.000000,-143.313639
1777022698.156758,-61.279633,-141.075279,157.603022,0.000000,-141.075279
1777022698.254677,-61.252572,-138.729794,160.014602,0.000000,-138.729794
1777022698.356825,-61.131209,-136.283395,162.572407,0.000000,-136.283395
1777022698.456384,-61.107853,-133.971921,164.917719,0.000000,-133.971921
1777022698.558062,-61.078687,-132.140969,166.777690,0.000000,-132.140969
1777022698.656138,-61.245768,-130.561733,168.212008,0.000000,-130.561733
1777022698.755604,-61.173811,-129.491800,169.325517,0.000000,-129.491800
1777022698.854607,-61.251702,-128.905947,169.852467,0.000000,-128.905947
1777022698.957840,-61.251702,-128.659751,170.088547,0.000000,-128.659751
1777022699.055039,-61.309679,-128.780875,169.917821,0.000000,-128.780875
1777022699.154870,-61.309679,-129.211064,169.479258,0.000000,-129.211064
1777022699.255533,-61.582564,-129.889427,168.565267,0.000000,-129.889427
1777022699.354467,-61.582564,-130.749210,167.668225,0.000000,-130.749210
1777022699.456442,-61.945698,-131.649795,166.448374,0.000000,-131.649795
1777022699.555043,-61.945698,-132.601781,165.452521,0.000000,-132.601781
1777022699.657101,-62.047608,-133.341367,164.617023,0.000000,-133.341367
1777022699.757223,-62.047608,-134.419245,163.533147,0.000000,-134.419245
1777022699.855896,-62.103731,-135.217762,162.684513,0.000000,-135.217762
1777022699.954303,-62.103731,-135.848666,162.047604,0.000000,-135.848666
1777022700.054654,-62.478845,-136.394160,161.168517,0.000000,-136.394160
1777022700.154649,-62.478845,-136.886960,160.634195,0.000000,-136.886960
1777022700.254596,-62.449745,-137.326943,160.220137,0.000000,-137.326943
1777022700.356223,-62.449745,-137.712040,159.838215,0.000000,-137.712040
